,Tourist_Spot,Address,Zipcode,coordinate
40,Douglaston Golf Course,"6320 Marathon Pkwy Queens, NY 11363, Bayside",11363,"(40.7524457, -73.73160419999999)"
41,Duffy Square,"46th and Broadway  47th and 7th Avenue New York, NY, Times Square/Theatre District",10036,"(40.7587254, -73.98772579999999)"
42,Ellis Island,"New York Harbor Manhattan, NY 10004, Lower Manhattan",10004,"(40.7038704, -74.0138541)"
43,Ellis Island National Museum of Immigration,"Ellis Island, New York Harbor Manhattan, NY 10004, Battery Park City",10004,"(40.7115786, -74.0158441)"
44,Ellis Island/American Family Immigration History Center,"Ellis Island, New York Harbor Manhattan, NY 10004, Battery Park City",10004,"(40.7115786, -74.0158441)"
45,Empire State Building Experience,"350 Fifth Ave. Manhattan, NY 10118, Herald Square",10118,"(40.7481619, -73.98500370000001)"
46,FDNY Fire Zone,"34 W. 51st St. Manhattan, NY 10020, Midtown West",10020,"(40.7597362, -73.9785723)"
47,Flatiron Building,"175 5th Ave Manhattan, NY, Flatiron District",10010,"(40.7410065, -73.9896538)"
48,Flushing Meadows Corona Park,"111th Street to Van Wyck Expressway Queens, NY 11375, Flushing",11375,"(40.7283448, -73.8329961)"
49,Fort Tryon Park,"Between Riverside Drive, Broadway, Dyckman Street and West 192nd Street New York, NY 10040, Washington Heights/Inwood",10040,"(40.8566364, -73.9296319)"
50,Governors Island,"Governors Island New York, NY 10004, Governors Island",10004,"(40.68945009999999, -74.016792)"
51,Gramercy Park,"E 20th St to E 21st St bet Gramercy Park West and Gramercy Park East Manhattan, NY 10010, Gramercy",10010,"(40.7830603, -73.9712488)"
52,Grand Army Plaza,"Fifth Avenue and W 59th Street Manhattan, NY, Midtown East",10019,"(40.7603287, -73.96727)"
53,Grand Army Plaza Memorial Arch,"Grand Army Plaza at Eastern Parkway Brooklyn, NY 11238, Prospect Heights",11238,"(40.6730861, -73.9694272)"
54,Grand Central Terminal,"15 Vanderbilt Ave., Hall 2A Manhattan, NY 10017, Midtown East",10017,"(40.75264019999999, -73.9777917)"
55,Green-Wood Cemetery,"500 25th St. Brooklyn, NY 11232, Sunset Park",11232,"(40.659324, -73.99638399999999)"
56,Greenbelt Nature Center,"700 Rockland Ave Staten Island, NY 10314, New Dorp",10314,"(40.5883639, -74.13908959999999)"
57,Gulliver's Gate,"216 W. 44th St. Manhattan, NY 10036 Times Square/Theatre District",10036,"(40.7575842, -73.9869946)"
